movieId;title;genres;ano_lancamento;quantidade_avaliacoes;media_avaliacoes;mediana_avaliacoes;desvio_padrao_avaliacoes;primeira_avaliacao;ultima_avaliacao;quantidade_generos;periodo_lancamento;faixa_avaliacao;faixa_popularidade;generos_normalizados
1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;1995;215;3,9209302325581397;4,0;0,8348591407114044;1996-04-12 15:19:00+00:00;2018-08-31 10:01:06+00:00;5;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_aventura|genero_animacao|genero_infantil|genero_comedia|genero_fantasia
2;Jumanji (1995);Adventure|Children|Fantasy;1995;110;3,4318181818181817;3,5;0,8817134921476453;1996-04-12 15:19:00+00:00;2018-06-25 04:42:03+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_aventura|genero_infantil|genero_fantasia
3;Grumpier Old Men (1995);Comedy|Romance;1995;52;3,2596153846153846;3,0;1,0548226531330254;1996-08-06 07:44:31+00:00;2017-06-26 19:24:31+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_comedia|genero_romance
4;Waiting to Exhale (1995);Comedy|Drama|Romance;1995;7;2,357142857142857;3,0;0,8521681032463467;1996-06-22 11:07:33+00:00;2009-03-22 22:14:15+00:00;3;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia|genero_drama|genero_romance
5;Father of the Bride Part II (1995);Comedy;1995;49;3,0714285714285716;3,0;0,9071475440448852;1996-04-12 15:19:00+00:00;2018-01-31 23:28:39+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia
6;Heat (1995);Action|Crime|Thriller;1995;102;3,946078431372549;4,0;0,8172244221533347;1996-04-17 16:50:09+00:00;2018-07-03 17:06:27+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_acao|genero_crime|genero_suspense
7;Sabrina (1995);Comedy|Romance;1995;54;3,185185185185185;3,0;0,9775609631923282;1996-06-08 13:44:52+00:00;2017-06-26 21:56:01+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_comedia|genero_romance
8;Tom and Huck (1995);Adventure|Children;1995;8;2,875;3,0;1,1259916264596033;1996-05-31 08:19:20+00:00;2007-02-21 04:08:12+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_aventura|genero_infantil
9;Sudden Death (1995);Action;1995;16;3,125;3,0;0,9746794344808964;1996-05-12 22:31:53+00:00;2017-06-26 19:22:40+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao
10;GoldenEye (1995);Action|Adventure|Thriller;1995;132;3,496212121212121;3,5;0,8593806844280277;1996-04-18 11:38:34+00:00;2018-09-17 04:12:53+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_acao|genero_aventura|genero_suspense
11;American President, The (1995);Comedy|Drama|Romance;1995;70;3,6714285714285713;4,0;0,9004254802862112;1996-04-12 15:19:00+00:00;2018-08-11 01:01:37+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_comedia|genero_drama|genero_romance
12;Dracula: Dead and Loving It (1995);Comedy|Horror;1995;19;2,4210526315789473;3,0;1,2501461902817699;1996-06-27 07:31:51+00:00;2018-02-21 02:56:27+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_comedia|genero_terror
13;Balto (1995);Adventure|Animation|Children;1995;8;3,125;3,0;0,6408699444616557;1996-06-17 14:41:27+00:00;2017-05-08 02:54:42+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_aventura|genero_animacao|genero_infantil
14;Nixon (1995);Drama;1995;18;3,8333333333333335;4,0;0,7071067811865476;1996-05-14 13:37:07+00:00;2005-07-08 12:54:07+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama
15;Cutthroat Island (1995);Action|Adventure|Romance;1995;13;3,0;3,0;1,20761472884912;1996-05-18 20:05:34+00:00;2018-02-21 19:04:02+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao|genero_aventura|genero_romance
16;Casino (1995);Crime|Drama;1995;82;3,926829268292683;4,0;0,8858348619181693;1996-04-17 16:50:09+00:00;2018-08-10 03:42:33+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_crime|genero_drama
17;Sense and Sensibility (1995);Drama|Romance;1995;67;3,7761194029850746;4,0;1,1457549518851469;1996-04-17 16:50:09+00:00;2017-12-23 00:46:07+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_drama|genero_romance
18;Four Rooms (1995);Comedy;1995;20;3,7;4,0;0,9090191359227177;1996-08-27 01:38:41+00:00;2018-07-29 20:47:11+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia
19;Ace Ventura: When Nature Calls (1995);Comedy;1995;88;2,727272727272727;3,0;1,0637957708161232;1996-05-12 22:22:55+00:00;2017-12-23 00:46:10+00:00;1;periodo_1990_1999;avaliacao_baixa;popularidade_alta;genero_comedia
20;Money Train (1995);Action|Comedy|Crime|Drama|Thriller;1995;15;2,5;2,0;0,9819805060619657;1996-05-21 17:29:20+00:00;2017-06-26 19:20:13+00:00;5;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_acao|genero_comedia|genero_crime|genero_drama|genero_suspense
21;Get Shorty (1995);Comedy|Crime|Thriller;1995;89;3,49438202247191;4,0;0,8676456585288979;1996-04-17 16:50:09+00:00;2017-12-23 00:46:15+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_comedia|genero_crime|genero_suspense
22;Copycat (1995);Crime|Drama|Horror|Mystery|Thriller;1995;36;3,2222222222222223;3,0;0,8232726023485646;1996-03-29 18:36:55+00:00;2018-08-11 00:26:11+00:00;5;periodo_1990_1999;avaliacao_media;popularidade_media;genero_crime|genero_drama|genero_terror|genero_misterio|genero_suspense
23;Assassins (1995);Action|Crime|Thriller;1995;16;3,125;3,0;1,118033988749895;1996-04-18 11:46:45+00:00;2017-06-26 18:55:32+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao|genero_crime|genero_suspense
24;Powder (1995);Drama|Sci-Fi;1995;28;3,125;3,0;1,0149347725802838;1996-07-14 13:26:41+00:00;2018-02-14 20:40:54+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama|genero_ficcao_cientifica
25;Leaving Las Vegas (1995);Drama|Romance;1995;76;3,625;4,0;1,1169153951844337;1996-04-17 16:50:09+00:00;2018-02-09 17:39:53+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_drama|genero_romance
26;Othello (1995);Drama;1995;13;3,5;4,0;0,6123724356957942;1996-05-14 07:45:37+00:00;2017-06-26 23:10:55+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama
27;Now and Then (1995);Children|Drama;1995;9;3,3333333333333335;3,0;1,1989578808281798;1996-10-10 18:58:51+00:00;2015-02-21 03:02:20+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_infantil|genero_drama
28;Persuasion (1995);Drama|Romance;1995;11;4,2272727272727275;4,5;0,7862453931068965;1996-08-17 19:42:12+00:00;2015-07-04 17:42:07+00:00;2;periodo_1990_1999;avaliacao_alta;popularidade_media;genero_drama|genero_romance
29;City of Lost Children, The (Cité des enfants perdus, La) (1995);Adventure|Drama|Fantasy|Mystery|Sci-Fi;1995;38;4,0131578947368425;4,0;0,8259870598526934;1996-08-24 08:50:20+00:00;2017-06-26 18:16:27+00:00;5;periodo_1990_1999;avaliacao_alta;popularidade_media;genero_aventura|genero_drama|genero_fantasia|genero_misterio|genero_ficcao_cientifica
31;Dangerous Minds (1995);Drama;1995;38;3,1842105263157894;3,0;0,9892739122203291;1996-05-14 07:36:11+00:00;2018-07-03 18:33:18+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama
32;Twelve Monkeys (a.k.a. 12 Monkeys) (1995);Mystery|Sci-Fi|Thriller;1995;177;3,983050847457627;4,0;0,7903866737178423;1996-04-17 16:50:09+00:00;2018-08-31 10:02:29+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_misterio|genero_ficcao_cientifica|genero_suspense
34;Babe (1995);Children|Drama;1995;128;3,65234375;4,0;1,0415739788159346;1996-04-17 17:08:17+00:00;2018-09-17 04:12:48+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_infantil|genero_drama
36;Dead Man Walking (1995);Crime|Drama;1995;67;3,8358208955223883;4,0;0,943028887461601;1996-04-17 16:50:09+00:00;2017-12-23 00:46:06+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_crime|genero_drama
39;Clueless (1995);Comedy|Romance;1995;104;3,293269230769231;3,0;1,0371979076466489;1996-04-17 17:08:17+00:00;2018-09-01 18:45:47+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_comedia|genero_romance
41;Richard III (1995);Drama|War;1995;15;3,7;4,0;0,6761234037828133;1996-06-10 09:27:58+00:00;2017-06-26 23:14:07+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama|genero_guerra
42;Dead Presidents (1995);Action|Crime|Drama;1995;7;3,0;3,0;0,816496580927726;1996-08-06 07:30:37+00:00;2017-06-27 01:04:43+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_acao|genero_crime|genero_drama
43;Restoration (1995);Drama;1995;8;3,1875;3,0;0,6512350903146595;1996-10-17 12:33:27+00:00;2018-02-23 00:50:48+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_drama
44;Mortal Kombat (1995);Action|Adventure|Fantasy;1995;46;2,5434782608695654;2,5;1,0843640581594445;1996-05-14 07:36:33+00:00;2018-08-10 23:59:18+00:00;3;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_acao|genero_aventura|genero_fantasia
45;To Die For (1995);Comedy|Drama|Thriller;1995;32;3,3125;3,0;0,8303710791159927;1996-05-23 08:28:01+00:00;2017-06-26 22:37:20+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia|genero_drama|genero_suspense
46;How to Make an American Quilt (1995);Drama|Romance;1995;15;3,066666666666667;3,0;1,178174536346478;1996-05-14 07:44:52+00:00;2012-04-05 20:43:14+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama|genero_romance
47;Seven (a.k.a. Se7en) (1995);Mystery|Thriller;1995;203;3,9753694581280787;4,0;0,9224291201153795;1996-04-17 17:08:18+00:00;2018-08-10 03:38:45+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_misterio|genero_suspense
48;Pocahontas (1995);Animation|Children|Drama|Musical|Romance;1995;68;3,1470588235294117;3,0;1,0546939271988995;1996-03-29 18:36:56+00:00;2018-02-14 20:39:51+00:00;5;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_animacao|genero_infantil|genero_drama|genero_musical|genero_romance
50;Usual Suspects, The (1995);Crime|Mystery|Thriller;1995;204;4,237745098039215;4,5;0,8009211530017211;1996-04-17 17:08:18+00:00;2018-09-17 04:11:56+00:00;3;periodo_1990_1999;avaliacao_alta;popularidade_alta;genero_crime|genero_misterio|genero_suspense
52;Mighty Aphrodite (1995);Comedy|Drama|Romance;1995;28;3,4642857142857144;3,25;0,8705954904182011;1996-04-17 16:50:09+00:00;2017-06-27 01:03:12+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia|genero_drama|genero_romance
57;Home for the Holidays (1995);Drama;1995;8;3,0625;3,0;0,8634441002668987;1996-08-17 18:30:44+00:00;2018-02-21 19:16:44+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_drama
58;Postman, The (Postino, Il) (1994);Comedy|Drama|Romance;1994;37;4,027027027027027;4,0;0,9200388423710553;1996-04-17 16:50:09+00:00;2010-10-01 03:40:54+00:00;3;periodo_1990_1999;avaliacao_alta;popularidade_media;genero_comedia|genero_drama|genero_romance
60;Indian in the Cupboard, The (1995);Adventure|Children|Fantasy;1995;34;3,235294117647059;3,0;1,0242165824878726;1996-03-29 18:36:56+00:00;2018-02-20 09:18:30+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_aventura|genero_infantil|genero_fantasia
61;Eye for an Eye (1996);Drama|Thriller;1996;6;3,75;4,0;0,8803408430829505;1996-10-10 18:59:40+00:00;2018-02-22 19:30:17+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_drama|genero_suspense
62;Mr. Holland's Opus (1995);Drama;1995;80;3,70625;4,0;1,0484882124495105;1996-04-12 15:19:00+00:00;2018-08-11 01:00:00+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_drama
63;Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996);Comedy|Crime;1996;7;2,7142857142857144;3,0;1,14953406710222;1996-12-17 23:34:48+00:00;2012-07-14 01:08:01+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia|genero_crime
64;Two if by Sea (1996);Comedy|Romance;1996;5;2,2;2,0;0,8366600265340756;1997-02-25 15:12:20+00:00;2001-01-21 04:39:48+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia|genero_romance
65;Bio-Dome (1996);Comedy;1996;31;2,532258064516129;3,0;1,0562156019721836;1996-10-17 12:24:30+00:00;2018-02-14 20:42:06+00:00;1;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_comedia
66;Lawnmower Man 2: Beyond Cyberspace (1996);Action|Sci-Fi|Thriller;1996;9;2,5;3,0;1,118033988749895;1996-10-17 12:25:51+00:00;2008-01-24 07:11:02+00:00;3;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_acao|genero_ficcao_cientifica|genero_suspense
68;French Twist (Gazon maudit) (1995);Comedy|Romance;1995;5;3,4;3,0;1,140175425099138;1996-12-15 22:26:16+00:00;2007-02-18 16:43:23+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_comedia|genero_romance
69;Friday (1995);Comedy;1995;20;3,775;4,0;0,89552983434977;1996-05-12 22:36:40+00:00;2017-06-26 22:14:03+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia
70;From Dusk Till Dawn (1996);Action|Comedy|Horror|Thriller;1996;55;3,5090909090909093;4,0;1,0160330862345146;1996-05-12 22:28:47+00:00;2018-07-03 17:07:31+00:00;4;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_acao|genero_comedia|genero_terror|genero_suspense
71;Fair Game (1995);Action;1995;5;1,7;2,0;0,4472135954999579;1997-09-16 13:29:04+00:00;2006-06-21 08:11:06+00:00;1;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_acao
72;Kicking and Screaming (1995);Comedy|Drama;1995;7;3,2142857142857144;4,0;1,2863754913562;1996-04-17 17:08:17+00:00;2014-11-29 16:33:27+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_comedia|genero_drama
73;Misérables, Les (1995);Drama|War;1995;13;3,4615384615384617;4,0;0,6910601294852007;1996-06-17 14:33:55+00:00;2018-02-23 21:29:56+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_drama|genero_guerra
74;Bed of Roses (1996);Drama|Romance;1996;8;4,0;4,0;0,7559289460184544;1996-12-17 23:33:06+00:00;2004-11-11 15:25:32+00:00;2;periodo_1990_1999;avaliacao_alta;popularidade_baixa;genero_drama|genero_romance
75;Big Bully (1996);Comedy|Drama;1996;5;2,2;3,0;1,0954451150103324;1997-02-14 19:21:23+00:00;2018-02-23 02:41:53+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia|genero_drama
76;Screamers (1995);Action|Sci-Fi|Thriller;1995;15;3,4;3,5;1,1982129550769702;1996-05-14 13:30:15+00:00;2017-06-26 23:07:37+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao|genero_ficcao_cientifica|genero_suspense
79;Juror, The (1996);Drama|Thriller;1996;17;2,764705882352941;2,0;1,200490095997562;1996-10-16 12:58:37+00:00;2018-02-22 21:50:37+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_drama|genero_suspense
81;Things to Do in Denver When You're Dead (1995);Crime|Drama|Romance;1995;14;3,107142857142857;3,0;0,7640623068776583;1996-12-17 23:35:20+00:00;2017-06-26 22:47:45+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_crime|genero_drama|genero_romance
82;Antonia's Line (Antonia) (1995);Comedy|Drama;1995;8;3,875;4,5;1,4820352800890308;1996-05-14 07:49:11+00:00;2010-07-18 18:10:39+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_comedia|genero_drama
85;Angels and Insects (1995);Drama|Romance;1995;7;3,857142857142857;5,0;1,5735915849388864;1996-04-17 16:50:09+00:00;2001-05-28 18:50:51+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_baixa;genero_drama|genero_romance
86;White Squall (1996);Action|Adventure|Drama;1996;15;3,966666666666667;4,0;0,7668736780560658;1996-08-08 20:48:18+00:00;2007-02-18 19:49:51+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao|genero_aventura|genero_drama
87;Dunston Checks In (1996);Children|Comedy;1996;7;2,5;3,0;0,957427107756338;1996-10-17 12:28:20+00:00;2018-02-21 03:49:01+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_infantil|genero_comedia
88;Black Sheep (1996);Comedy;1996;16;3,15625;3,25;1,1792476415070754;1996-10-17 12:34:54+00:00;2018-03-07 07:46:30+00:00;1;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia
89;Nick of Time (1995);Action|Thriller;1995;10;3,25;3,25;0,754615428178118;1996-10-17 12:25:24+00:00;2017-06-26 22:44:46+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_acao|genero_suspense
92;Mary Reilly (1996);Drama|Horror|Thriller;1996;8;2,625;2,5;1,0264362759428507;1996-05-14 13:30:15+00:00;2007-02-13 11:15:42+00:00;3;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_drama|genero_terror|genero_suspense
93;Vampire in Brooklyn (1995);Comedy|Horror|Romance;1995;9;2,8333333333333335;3,0;1,0307764064044151;1996-05-18 20:07:56+00:00;2017-06-26 19:07:50+00:00;3;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia|genero_terror|genero_romance
94;Beautiful Girls (1996);Comedy|Drama|Romance;1996;10;3,95;4,0;0,4972144630058766;1996-04-17 16:50:09+00:00;2007-08-02 20:21:29+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_media;genero_comedia|genero_drama|genero_romance
95;Broken Arrow (1996);Action|Adventure|Thriller;1996;84;3,0238095238095237;3,0;1,0146658358604672;1996-04-17 16:50:09+00:00;2017-12-23 00:46:17+00:00;3;periodo_1990_1999;avaliacao_media;popularidade_alta;genero_acao|genero_aventura|genero_suspense
97;Hate (Haine, La) (1995);Crime|Drama;1995;10;3,9;4,0;0,7378647873726218;1996-08-06 05:42:20+00:00;2018-02-20 09:49:10+00:00;2;periodo_1990_1999;avaliacao_media;popularidade_media;genero_crime|genero_drama
100;City Hall (1996);Drama|Thriller;1996;14;2,7857142857142856;3,0;0,699293206753068;1996-08-06 05:42:20+00:00;2017-06-26 21:04:45+00:00;2;periodo_1990_1999;avaliacao_baixa;popularidade_media;genero_drama|genero_suspense
101;Bottle Rocket (1996);Adventure|Comedy|Crime|Romance;1996;23;3,782608695652174;4,0;1,0425720702853738;1999-10-19 19:26:11+00:00;2018-05-02 18:53:30+00:00;4;periodo_1990_1999;avaliacao_media;popularidade_media;genero_aventura|genero_comedia|genero_crime|genero_romance
102;Mr. Wrong (1996);Comedy;1996;5;2,4;1,0;1,9493588689617927;1996-10-17 12:30:36+00:00;2000-08-08 04:24:13+00:00;1;periodo_1990_1999;avaliacao_baixa;popularidade_baixa;genero_comedia
