Itemsets;Suporte;Quantidade_itens
{avaliacao_media};0,6401753905179501;1
{popularidade_media};0,49849273773636615;1
{genero_drama};0,4376541518224171;1
{genero_comedia};0,4053165250753631;1
{popularidade_baixa};0,3781858043299534;1
{avaliacao_media, popularidade_media};0,340093176212661;2
{periodo_2000_2009};0,3137845985201425;1
{avaliacao_media, genero_drama};0,30748150178130995;2
{periodo_1990_1999};0,3044669772540422;1
{genero_acao};0,2543162510276788;1
{avaliacao_media, genero_comedia};0,2515757741847081;2
{genero_suspense};0,24390243902439024;1
{avaliacao_baixa};0,23924362839134009;1
{genero_drama, popularidade_media};0,21841600438476294;2
{avaliacao_media, periodo_2000_2009};0,20882433543436557;2
{avaliacao_media, popularidade_baixa};0,20772814469717732;2
{genero_comedia, popularidade_media};0,20005480953685942;2
{genero_aventura};0,18525623458481777;1
{avaliacao_media, periodo_1990_1999};0,18333790079473827;2
{genero_romance};0,17950123321457934;1
{periodo_1970_1989};0,17840504247739106;1
{genero_drama, popularidade_baixa};0,1737462318443409;2
{avaliacao_media, genero_suspense};0,16059194299808166;2
{avaliacao_media, genero_drama, popularidade_media};0,15922170457659632;3
{avaliacao_media, genero_acao};0,1586736092080022;2
{periodo_2000_2009, popularidade_media};0,15648122773362566;2
{genero_comedia, popularidade_baixa};0,15565908468073444;2
{periodo_1990_1999, popularidade_media};0,15483694162784326;2
{genero_drama, periodo_2000_2009};0,1468895587832283;2
{genero_crime};0,14305289120306933;1
{genero_drama, periodo_1990_1999};0,1381200328857221;2
{avaliacao_media, genero_comedia, popularidade_media};0,13729788983283092;3
{genero_acao, popularidade_media};0,13537955604275143;2
{genero_comedia, periodo_1990_1999};0,13373526993696902;2
{genero_ficcao_cientifica};0,1331871745683749;1
{genero_suspense, popularidade_media};0,13099479309399836;2
{genero_comedia, periodo_2000_2009};0,1271581255138394;2
{periodo_2010_2018};0,12688407782954234;1
{avaliacao_baixa, popularidade_baixa};0,12578788709235406;2
{avaliacao_media, genero_aventura};0,1238695533022746;2
{popularidade_alta};0,12332145793368046;1
{avaliacao_baixa, genero_comedia};0,1230474102493834;2
{avaliacao_media, genero_romance};0,1222252671964922;2
{avaliacao_alta};0,12058098109070978;1
{periodo_2000_2009, popularidade_baixa};0,12003288572211565;2
{avaliacao_media, genero_drama, popularidade_baixa};0,11564812277336256;3
{avaliacao_media, genero_drama, periodo_2000_2009};0,11263359824609483;3
{avaliacao_media, periodo_1970_1989};0,11235955056179775;2
{avaliacao_media, periodo_2000_2009, popularidade_media};0,11098931214031242;3
{genero_drama, genero_suspense};0,1085228829816388;2
{genero_acao, genero_suspense};0,10660454919155933;2
{avaliacao_baixa, popularidade_media};0,10633050150726227;2
{genero_drama, genero_romance};0,10194573855850918;2
{genero_fantasia};0,10139764318991505;1
{genero_comedia, genero_romance};0,10112359550561797;2
{genero_aventura, popularidade_media};0,10084954782132091;2
{genero_comedia, genero_drama};0,10002740476842971;2
{genero_acao, genero_aventura};0,09975335708413263;2
{avaliacao_media, genero_drama, periodo_1990_1999};0,09865716634694437;3
{avaliacao_media, periodo_1990_1999, popularidade_media};0,09701288024116196;3
{periodo_1990_1999, popularidade_baixa};0,0967388325568649;2
{avaliacao_baixa, periodo_1990_1999};0,0959166895039737;2
{avaliacao_media, genero_crime};0,09509454645108249;2
{genero_romance, popularidade_media};0,09427240339819129;2
