Antecedente;Consequente;Suporte;Confianca;Lift;Motivo_descarte
{genero_animacao, genero_aventura};{genero_infantil};0,0252123869553302;0,7603305785123967;8,724673839596653;"Mesma combinação total de itens da regra mantida {genero_aventura, genero_infantil} -> {genero_animacao}; direção alternativa removida."
{genero_animacao};{genero_infantil};0,040833104960263;0,6563876651982379;7,531945252542044;"Associação direta entre rótulos editoriais fortemente sobrepostos; correta, mas pouco informativa."
{genero_animacao, genero_infantil};{genero_aventura};0,0252123869553302;0,6174496644295302;3,332949446010881;"Mesma combinação total de itens da regra mantida {genero_aventura, genero_infantil} -> {genero_animacao}; direção alternativa removida."
{genero_misterio};{genero_suspense};0,0474102493833927;0,6705426356589147;2,7492248062015503;"Proximidade temática muito conhecida entre os gêneros; útil como validação, mas pouco nova."
{genero_guerra};{genero_drama};0,0337078651685393;0,7884615384615384;1,8015630268291507;Combinação convencional de classificação cinematográfica, com baixo ganho interpretativo.
{genero_romance};{genero_comedia};0,1011235955056179;0,5633587786259542;1,389923044764102;A categoria comédia romântica torna a associação previsível e pouco específica.
{genero_infantil};{genero_comedia};0,0485064401205809;0,5566037735849056;1,3732570451733068;Coocorrência editorial frequente e ampla, com baixa novidade para a análise.
{genero_crime, periodo_2000_2009};{genero_drama};0,0309673883255686;0,5707070707070707;1,3040138390795872;Regra válida, mas ficou fora das 30 por menor lift após os filtros de relevância e diversidade.
{genero_romance};{genero_drama};0,1019457385585091;0,5679389312977099;1,297688891863083;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{periodo_2010_2018, popularidade_media};{avaliacao_media};0,0517950123321457;0,8253275109170306;1,28922092779805;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{periodo_2000_2009, popularidade_alta};{avaliacao_media};0,0306933406412715;0,8235294117647058;1,2864121676067686;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_crime, periodo_1990_1999};{genero_drama};0,0235681008495478;0,5620915032679739;1,2843280497337737;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, popularidade_baixa};{genero_drama};0,1156481227733625;0,5567282321899736;1,2720734622800336;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_musical};{avaliacao_media};0,0323376267470539;0,8137931034482759;1,271203353802551;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_misterio};{genero_drama};0,0257604823239243;0,5562130177514792;1,270896244067093;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, periodo_2010_2018};{popularidade_media};0,0230200054809536;0,631578947368421;1,2669772286681518;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_crime};{genero_drama};0,0523431077007399;0,5504322766570605;1,2576877755301274;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_imax};{avaliacao_media};0,0260345300082214;0,7851239669421487;1,2264201007585191;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_drama, periodo_2000_2009};{avaliacao_media};0,1126335982460948;0,7667910447761194;1,1977827578716007;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_animacao};{avaliacao_media};0,0476842970676897;0,7665198237885463;1,197359091183393;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, genero_suspense};{avaliacao_media};0,0282269114825979;0,7629629629629631;1,191803018772197;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{popularidade_alta};{avaliacao_media};0,0923540696081118;0,7488888888888888;1,169818302891933;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_comedia, genero_drama};{avaliacao_media};0,0748150178130994;0,747945205479452;1,1683442015387502;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_baixa, genero_suspense};{popularidade_media};0,0345300082214305;0,5806451612903226;1,164801645711043;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_suspense, periodo_1970_1989};{avaliacao_media};0,0249383392710331;0,7398373983739837;1,155679223744292;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_aventura};{popularidade_media};0,0712523979172376;0,5752212389380531;1,1539210010362593;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_ficcao_cientifica, genero_suspense};{popularidade_media};0,0271307207454097;0,5722543352601156;1,147969251986895;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, periodo_2010_2018};{popularidade_media};0,0517950123321457;0,5692771084337349;1,1419967942136882;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_ficcao_cientifica};{popularidade_media};0,0476842970676897;0,5686274509803921;1,1406935506473066;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_drama, popularidade_media};{avaliacao_media};0,1592217045765963;0,7289836888331241;1,1387249488664684;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, genero_drama};{popularidade_media};0,0235681008495478;0,5657894736842105;1,135000434015219;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_crime, popularidade_media};{avaliacao_media};0,0506988215949575;0,7254901960784315;1,1332678619392964;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_suspense, periodo_1990_1999};{popularidade_media};0,0430254864346396;0,5647482014388489;1,1329115926610005;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_acao, genero_ficcao_cientifica};{popularidade_media};0,0430254864346396;0,5647482014388489;1,1329115926610005;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_animacao};{popularidade_media};0,0268566730611126;0,5632183908045977;1,1298427202011967;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_infantil};{popularidade_media};0,0309673883255686;0,5621890547263683;1,1277778233625717;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{avaliacao_media, genero_fantasia};{popularidade_media};0,0361742943272129;0,5617021276595745;1,1268010246452926;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_acao, periodo_2010_2018};{popularidade_media};0,0309673883255686;0,5594059405940595;1,1221947648310735;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{periodo_2010_2018};{avaliacao_media};0,0909838311866264;0,717062634989201;1,1201034054261962;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_aventura, periodo_1970_1989};{popularidade_media};0,0211016716908742;0,5579710144927537;1,1193162352303785;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
{genero_romance, popularidade_media};{avaliacao_media};0,0674157303370786;0,7151162790697674;1,1170630575023892;"Lift inferior a 1.30; associação apenas modestamente acima da frequência-base."
