Indicador;Valor;Observacao
Filmes cadastrados;9742,0;
Avaliações;100836,0;
Usuários distintos;610,0;
Filmes avaliados;9724,0;
Filmes sem avaliação;18,0;mantidos na auditoria
Filmes sem gênero informado;34,0;excluídos das transações
Títulos sem ano final padrão;13,0;nenhum permaneceu após o filtro
Avaliações órfãs;0,0;esperado: 0
Duplicatas usuário-filme;0,0;esperado: 0
Títulos repetidos com IDs distintos;5,0;não removidos
Filmes nas transações;3649,0;mínimo de 5 avaliações
Itens médios por transação;5,545;
