movieId;title;transacao_json;quantidade_itens
1;Toy Story (1995);"[""avaliacao_media"", ""genero_animacao"", ""genero_aventura"", ""genero_comedia"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_alta""]";8
2;Jumanji (1995);"[""avaliacao_media"", ""genero_aventura"", ""genero_fantasia"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_alta""]";6
3;Grumpier Old Men (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
4;Waiting to Exhale (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_baixa""]";6
5;Father of the Bride Part II (1995);"[""avaliacao_media"", ""genero_comedia"", ""periodo_1990_1999"", ""popularidade_media""]";4
6;Heat (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_crime"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
7;Sabrina (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";5
8;Tom and Huck (1995);"[""avaliacao_baixa"", ""genero_aventura"", ""genero_infantil"", ""periodo_1990_1999"", ""popularidade_baixa""]";5
9;Sudden Death (1995);"[""avaliacao_media"", ""genero_acao"", ""periodo_1990_1999"", ""popularidade_media""]";4
10;GoldenEye (1995);"[""avaliacao_media"", ""genero_acao"", ""genero_aventura"", ""genero_suspense"", ""periodo_1990_1999"", ""popularidade_alta""]";6
11;American President, The (1995);"[""avaliacao_media"", ""genero_comedia"", ""genero_drama"", ""genero_romance"", ""periodo_1990_1999"", ""popularidade_alta""]";6
12;Dracula: Dead and Loving It (1995);"[""avaliacao_baixa"", ""genero_comedia"", ""genero_terror"", ""periodo_1990_1999"", ""popularidade_media""]";5
