suporte,itemsets
0.1552823315118397,Abandono
0.09972677595628415,Equipe_Ferrari
0.10018214936247723,Equipe_McLaren
0.0999544626593807,Equipe_Mercedes
0.3533697632058288,Equipe_Outras
0.0976775956284153,Equipe_Red Bull
0.04530965391621129,Equipe_Renault
0.05214025500910747,Equipe_Sauber
0.05418943533697632,Equipe_Toro Rosso
0.09744990892531877,Equipe_Williams
0.4007285974499089,Grid_Back
0.30009107468123863,Grid_Front
0.29918032786885246,Grid_Middle
0.34676684881602915,Nao_Pontuou
0.10018214936247723,Podio
0.3476775956284153,Pontuou
0.05009107468123861,Venceu
0.05669398907103825,Abandono | Equipe_Outras
0.07627504553734062,Abandono | Grid_Back
0.02959927140255009,Abandono | Grid_Front
0.049408014571948995,Abandono | Grid_Middle
0.07081056466302368,Equipe_Ferrari | Grid_Front
0.020264116575591986,Equipe_Ferrari | Grid_Middle
0.02663934426229508,Equipe_Ferrari | Podio
0.04781420765027322,Equipe_Ferrari | Pontuou
0.033925318761384333,Equipe_McLaren | Grid_Back
0.022540983606557378,Equipe_McLaren | Grid_Front
0.04371584699453552,Equipe_McLaren | Grid_Middle
0.031193078324225864,Equipe_McLaren | Nao_Pontuou
0.04485428051001821,Equipe_McLaren | Pontuou
0.08333333333333333,Equipe_Mercedes | Grid_Front
0.033697632058287796,Equipe_Mercedes | Podio
0.02982695810564663,Equipe_Mercedes | Pontuou
0.026183970856102003,Equipe_Mercedes | Venceu
0.19148451730418944,Equipe_Outras | Grid_Back
0.031876138433515486,Equipe_Outras | Grid_Front
0.13000910746812386,Equipe_Outras | Grid_Middle
0.17395264116575593,Equipe_Outras | Nao_Pontuou
0.11703096539162113,Equipe_Outras | Pontuou
0.06944444444444445,Equipe_Red Bull | Grid_Front
0.022996357012750455,Equipe_Red Bull | Podio
0.04007285974499089,Equipe_Red Bull | Pontuou
0.022540983606557378,Equipe_Renault | Grid_Middle
0.0441712204007286,Equipe_Sauber | Grid_Back
0.033925318761384333,Equipe_Sauber | Nao_Pontuou
0.02686703096539162,Equipe_Toro Rosso | Grid_Back
0.023451730418943533,Equipe_Toro Rosso | Grid_Middle
0.022540983606557378,Equipe_Toro Rosso | Nao_Pontuou
0.060792349726775954,Equipe_Williams | Grid_Back
0.022313296903460837,Equipe_Williams | Grid_Middle
0.05373406193078324,Equipe_Williams | Nao_Pontuou
0.025500910746812388,Equipe_Williams | Pontuou
0.2488615664845173,Grid_Back | Nao_Pontuou
0.07172131147540983,Grid_Back | Pontuou
0.0883424408014572,Grid_Front | Podio
0.11953551912568305,Grid_Front | Pontuou
0.048041894353369766,Grid_Front | Venceu
0.08333333333333333,Grid_Middle | Nao_Pontuou
0.1564207650273224,Grid_Middle | Pontuou
0.033697632058287796,Abandono | Equipe_Outras | Grid_Back
0.025045537340619307,Equipe_Ferrari | Grid_Front | Podio
0.030054644808743168,Equipe_Ferrari | Grid_Front | Pontuou
0.022996357012750455,Equipe_McLaren | Grid_Middle | Pontuou
0.030965391621129327,Equipe_Mercedes | Grid_Front | Podio
0.025728597449908925,Equipe_Mercedes | Grid_Front | Venceu
0.12750455373406194,Equipe_Outras | Grid_Back | Nao_Pontuou
0.03028233151183971,Equipe_Outras | Grid_Back | Pontuou
0.02163023679417122,Equipe_Outras | Grid_Front | Pontuou
0.04326047358834244,Equipe_Outras | Grid_Middle | Nao_Pontuou
0.0651183970856102,Equipe_Outras | Grid_Middle | Pontuou
0.022313296903460837,Equipe_Red Bull | Grid_Front | Pontuou
0.030965391621129327,Equipe_Sauber | Grid_Back | Nao_Pontuou
0.0441712204007286,Equipe_Williams | Grid_Back | Nao_Pontuou
