numero,antecedente,consequente,suporte,confianca,lift,experimento,pergunta,resposta,analise_critica
1,Venceu,Grid_Front,0.0414964351518064,0.925,3.430414438502674,1950–2024,"No período 1950–2024, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 92.50%, suporte de 4.15% e lift 3.43.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
2,Equipe_Mercedes | Venceu,Grid_Front,0.0257285974499089,0.982608695652174,3.2743682786831165,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes | Venceu?","Aparece Grid_Front com confiança de 98.26%, suporte de 2.57% e lift 3.27.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
3,Venceu,Grid_Front,0.0480418943533697,0.9590909090909092,3.195999448199752,2014–2024,"No período 2014–2024, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 95.91%, suporte de 4.80% e lift 3.20.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
4,Venceu,Grid_Front,0.039195461578133,0.8735632183908046,3.1719832967411428,1950–1959,"No período 1950–1959, o que ocorre quando há Venceu?","Aparece Grid_Front com confiança de 87.36%, suporte de 3.92% e lift 3.17.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
5,Equipe_Ferrari | Podio,Grid_Front,0.0250455373406193,0.9401709401709402,3.1329520252130263,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Ferrari | Podio?","Aparece Grid_Front com confiança de 94.02%, suporte de 2.50% e lift 3.13.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
6,Equipe_Mercedes | Podio,Grid_Front,0.0309653916211293,0.918918918918919,3.0621334536357296,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes | Podio?","Aparece Grid_Front com confiança de 91.89%, suporte de 3.10% e lift 3.06.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
7,Podio,Grid_Front,0.0883424408014572,0.881818181818182,2.9385018623258383,2014–2024,"No período 2014–2024, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 88.18%, suporte de 8.83% e lift 2.94.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
8,Podio,Grid_Front,0.0677721701514059,0.7513321492007105,2.786357462410121,1950–2024,"No período 1950–2024, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 75.13%, suporte de 6.78% e lift 2.79.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
9,Equipe_Mercedes,Grid_Front,0.0833333333333333,0.8337129840546696,2.778199867957594,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Mercedes?","Aparece Grid_Front com confiança de 83.37%, suporte de 8.33% e lift 2.78.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
10,Equipe_Ferrari | Podio,Grid_Front,0.0340381640020629,0.7586206896551725,2.7546170734857296,1950–1959,"No período 1950–1959, o que ocorre quando há Equipe_Ferrari | Podio?","Aparece Grid_Front com confiança de 75.86%, suporte de 3.40% e lift 2.75.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
11,Podio,Grid_Front,0.0629190304280557,0.6559139784946236,2.3816801578671822,1950–1959,"No período 1950–1959, o que ocorre quando há Podio?","Aparece Grid_Front com confiança de 65.59%, suporte de 6.29% e lift 2.38.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
12,Equipe_Ferrari,Grid_Front,0.0616037811423536,0.6402997502081599,2.374587576306732,1950–2024,"No período 1950–2024, o que ocorre quando há Equipe_Ferrari?","Aparece Grid_Front com confiança de 64.03%, suporte de 6.16% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
13,Equipe_Red Bull,Grid_Front,0.0694444444444444,0.710955710955711,2.3691331430329914,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Red Bull?","Aparece Grid_Front com confiança de 71.10%, suporte de 6.94% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
14,Equipe_Ferrari,Grid_Front,0.0708105646630236,0.7100456621004567,2.366100567484981,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Ferrari?","Aparece Grid_Front com confiança de 71.00%, suporte de 7.08% e lift 2.37.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
15,Equipe_Sauber | Nao_Pontuou,Grid_Back,0.0309653916211293,0.912751677852349,2.277730323367908,2014–2024,"No período 2014–2024, o que ocorre quando há Equipe_Sauber | Nao_Pontuou?","Aparece Grid_Back com confiança de 91.28%, suporte de 3.10% e lift 2.28.","A associação é positiva, mas descreve coocorrência histórica; não demonstra causalidade e pode refletir regras esportivas e composição das equipes."
