support;itemsets
0,4007285974499089;frozenset({'Grid_Back'})
0,3533697632058288;frozenset({'Equipe_Outras'})
0,3476775956284153;frozenset({'Pontuou'})
0,34676684881602915;frozenset({'Nao_Pontuou'})
0,30009107468123863;frozenset({'Grid_Front'})
0,29918032786885246;frozenset({'Grid_Middle'})
0,2488615664845173;frozenset({'Nao_Pontuou', 'Grid_Back'})
0,19148451730418944;frozenset({'Grid_Back', 'Equipe_Outras'})
0,17395264116575593;frozenset({'Nao_Pontuou', 'Equipe_Outras'})
0,1564207650273224;frozenset({'Pontuou', 'Grid_Middle'})
0,1552823315118397;frozenset({'Abandono'})
0,13000910746812386;frozenset({'Grid_Middle', 'Equipe_Outras'})
0,12750455373406194;frozenset({'Nao_Pontuou', 'Grid_Back', 'Equipe_Outras'})
0,11953551912568305;frozenset({'Grid_Front', 'Pontuou'})
0,11703096539162113;frozenset({'Pontuou', 'Equipe_Outras'})
0,10018214936247723;frozenset({'Equipe_McLaren'})
0,10018214936247723;frozenset({'Podio'})
0,0999544626593807;frozenset({'Equipe_Mercedes'})
0,09972677595628415;frozenset({'Equipe_Ferrari'})
0,0976775956284153;frozenset({'Equipe_Red Bull'})
0,09744990892531877;frozenset({'Equipe_Williams'})
0,0883424408014572;frozenset({'Grid_Front', 'Podio'})
0,08333333333333333;frozenset({'Nao_Pontuou', 'Grid_Middle'})
0,08333333333333333;frozenset({'Grid_Front', 'Equipe_Mercedes'})
0,07627504553734062;frozenset({'Abandono', 'Grid_Back'})
0,07172131147540983;frozenset({'Pontuou', 'Grid_Back'})
0,07081056466302368;frozenset({'Grid_Front', 'Equipe_Ferrari'})
0,06944444444444445;frozenset({'Grid_Front', 'Equipe_Red Bull'})
0,0651183970856102;frozenset({'Pontuou', 'Grid_Middle', 'Equipe_Outras'})
0,060792349726775954;frozenset({'Equipe_Williams', 'Grid_Back'})
0,05669398907103825;frozenset({'Abandono', 'Equipe_Outras'})
0,05418943533697632;frozenset({'Equipe_Toro Rosso'})
0,05373406193078324;frozenset({'Nao_Pontuou', 'Equipe_Williams'})
0,05214025500910747;frozenset({'Equipe_Sauber'})
0,05009107468123861;frozenset({'Venceu'})
0,049408014571948995;frozenset({'Abandono', 'Grid_Middle'})
0,048041894353369766;frozenset({'Grid_Front', 'Venceu'})
0,04781420765027322;frozenset({'Pontuou', 'Equipe_Ferrari'})
0,04530965391621129;frozenset({'Equipe_Renault'})
0,04485428051001821;frozenset({'Equipe_McLaren', 'Pontuou'})
0,0441712204007286;frozenset({'Nao_Pontuou', 'Equipe_Williams', 'Grid_Back'})
0,0441712204007286;frozenset({'Equipe_Sauber', 'Grid_Back'})
0,04371584699453552;frozenset({'Equipe_McLaren', 'Grid_Middle'})
0,04326047358834244;frozenset({'Nao_Pontuou', 'Grid_Middle', 'Equipe_Outras'})
0,04007285974499089;frozenset({'Pontuou', 'Equipe_Red Bull'})
0,033925318761384333;frozenset({'Equipe_McLaren', 'Grid_Back'})
0,033925318761384333;frozenset({'Equipe_Sauber', 'Nao_Pontuou'})
0,033697632058287796;frozenset({'Abandono', 'Grid_Back', 'Equipe_Outras'})
0,033697632058287796;frozenset({'Podio', 'Equipe_Mercedes'})
0,031876138433515486;frozenset({'Grid_Front', 'Equipe_Outras'})
0,031193078324225864;frozenset({'Equipe_McLaren', 'Nao_Pontuou'})
0,030965391621129327;frozenset({'Equipe_Sauber', 'Nao_Pontuou', 'Grid_Back'})
0,030965391621129327;frozenset({'Grid_Front', 'Podio', 'Equipe_Mercedes'})
0,03028233151183971;frozenset({'Pontuou', 'Grid_Back', 'Equipe_Outras'})
0,030054644808743168;frozenset({'Grid_Front', 'Pontuou', 'Equipe_Ferrari'})
0,02982695810564663;frozenset({'Pontuou', 'Equipe_Mercedes'})
0,02959927140255009;frozenset({'Abandono', 'Grid_Front'})
0,02686703096539162;frozenset({'Equipe_Toro Rosso', 'Grid_Back'})
0,02663934426229508;frozenset({'Podio', 'Equipe_Ferrari'})
0,026183970856102003;frozenset({'Venceu', 'Equipe_Mercedes'})
0,025728597449908925;frozenset({'Grid_Front', 'Venceu', 'Equipe_Mercedes'})
0,025500910746812388;frozenset({'Pontuou', 'Equipe_Williams'})
0,025045537340619307;frozenset({'Grid_Front', 'Equipe_Ferrari', 'Podio'})
0,023451730418943533;frozenset({'Equipe_Toro Rosso', 'Grid_Middle'})
0,022996357012750455;frozenset({'Podio', 'Equipe_Red Bull'})
0,022996357012750455;frozenset({'Equipe_McLaren', 'Pontuou', 'Grid_Middle'})
0,022540983606557378;frozenset({'Equipe_McLaren', 'Grid_Front'})
0,022540983606557378;frozenset({'Equipe_Toro Rosso', 'Nao_Pontuou'})
0,022540983606557378;frozenset({'Equipe_Renault', 'Grid_Middle'})
0,022313296903460837;frozenset({'Grid_Front', 'Pontuou', 'Equipe_Red Bull'})
0,022313296903460837;frozenset({'Equipe_Williams', 'Grid_Middle'})
0,02163023679417122;frozenset({'Grid_Front', 'Pontuou', 'Equipe_Outras'})
0,020264116575591986;frozenset({'Equipe_Ferrari', 'Grid_Middle'})
