support;itemsets
0,4605062885524313;frozenset({'Grid_Back'})
0,37951614195305616;frozenset({'Equipe_Outras'})
0,37470960506288553;frozenset({'Abandono'})
0,302291115917648;frozenset({'Nao_Pontuou'})
0,26984699190899625;frozenset({'Grid_Middle'})
0,26964671953857244;frozenset({'Grid_Front'})
0,22891131939437634;frozenset({'Grid_Back', 'Equipe_Outras'})
0,20900424577425297;frozenset({'Grid_Back', 'Nao_Pontuou'})
0,2023552030761836;frozenset({'Grid_Back', 'Abandono'})
0,1879355924056717;frozenset({'Pontuou'})
0,16121925819113994;frozenset({'Equipe_Outras', 'Abandono'})
0,14139229351918609;frozenset({'Equipe_Outras', 'Nao_Pontuou'})
0,10598413842826243;frozenset({'Grid_Back', 'Equipe_Outras', 'Nao_Pontuou'})
0,104582231835296;frozenset({'Grid_Back', 'Equipe_Outras', 'Abandono'})
0,10057678442682047;frozenset({'Equipe_Outras', 'Grid_Middle'})
0,09649122807017543;frozenset({'Grid_Middle', 'Abandono'})
0,09621084675158215;frozenset({'Equipe_Ferrari'})
0,09020267563886886;frozenset({'Podio'})
0,08287270688135864;frozenset({'Grid_Middle', 'Pontuou'})
0,07586317391652647;frozenset({'Grid_Front', 'Abandono'})
0,07550268364976367;frozenset({'Equipe_McLaren'})
0,07025554754466073;frozenset({'Nao_Pontuou', 'Grid_Middle'})
0,06777217015140591;frozenset({'Podio', 'Grid_Front'})
0,06552911960265961;frozenset({'Equipe_Williams'})
0,0616037811423536;frozenset({'Equipe_Ferrari', 'Grid_Front'})
0,06148361772009933;frozenset({'Grid_Front', 'Pontuou'})
0,05643675398542017;frozenset({'Equipe_Outras', 'Pontuou'})
0,050028038131859326;frozenset({'Grid_Front', 'Equipe_Outras'})
0,0448610109749259;frozenset({'Venceu'})
0,04357926780421373;frozenset({'Grid_Back', 'Pontuou'})
0,041496435151806454;frozenset({'Grid_Front', 'Venceu'})
0,03809180485460226;frozenset({'Equipe_Outras', 'Grid_Middle', 'Abandono'})
0,035648481935432186;frozenset({'Equipe_McLaren', 'Grid_Front'})
0,033886085075702954;frozenset({'Equipe_Tyrrell'})
0,03292477769766883;frozenset({'Equipe_Team Lotus'})
0,032524232956821275;frozenset({'Equipe_Sauber'})
0,03132259873427862;frozenset({'Equipe_Renault'})
0,030481454778498757;frozenset({'Equipe_Red Bull'})
0,02935992950412561;frozenset({'Equipe_Outras', 'Nao_Pontuou', 'Grid_Middle'})
0,027677641592565888;frozenset({'Equipe_Outras', 'Grid_Middle', 'Pontuou'})
0,02723704237763358;frozenset({'Grid_Front', 'Equipe_Williams'})
0,026275734999599454;frozenset({'Equipe_Ferrari', 'Abandono'})
0,025674917888328125;frozenset({'Equipe_Minardi'})
0,025394536569734838;frozenset({'Equipe_Mercedes'})
0,024593447088039733;frozenset({'Equipe_Brabham'})
0,02419290234719218;frozenset({'Grid_Back', 'Equipe_Minardi'})
0,024152847873107425;frozenset({'Equipe_McLaren', 'Grid_Middle'})
0,023872466554514138;frozenset({'Equipe_Ferrari', 'Pontuou'})
0,02351197628775134;frozenset({'Equipe_Ferrari', 'Grid_Middle'})
0,02343186733958183;frozenset({'Equipe_Ferrari', 'Podio'})
0,0231915404950733;frozenset({'Equipe_Ligier'})
0,023031322598734277;frozenset({'Grid_Front', 'Nao_Pontuou'})
0,02259072338380197;frozenset({'Grid_Back', 'Equipe_Williams'})
0,022190178642954417;frozenset({'Equipe_Arrows'})
0,0213089802130898;frozenset({'Equipe_Toro Rosso'})
0,021108707842666025;frozenset({'Equipe_BRM'})
0,021108707842666025;frozenset({'Grid_Back', 'Equipe_Tyrrell'})
0,020828326524072738;frozenset({'Equipe_McLaren', 'Pontuou'})
0,020788272049987983;frozenset({'Equipe_Benetton'})
0,020708163101818472;frozenset({'Nao_Pontuou', 'Equipe_Williams'})
0,02054794520547945;frozenset({'Equipe_McLaren', 'Abandono'})
