antecedents;consequents;support;confidence;lift
frozenset({'Podio'});frozenset({'Equipe_Ferrari', 'Grid_Front'});0,03403816400206292;0,3548387096774194;3,5465580312603926
frozenset({'Equipe_Ferrari', 'Grid_Front'});frozenset({'Podio'});0,03403816400206292;0,3402061855670103;3,546558031260392
frozenset({'Grid_Front'});frozenset({'Venceu'});0,039195461578133056;0,14232209737827717;3,171983296741143
frozenset({'Venceu'});frozenset({'Grid_Front'});0,039195461578133056;0,8735632183908046;3,1719832967411428
frozenset({'Grid_Front', 'Podio'});frozenset({'Equipe_Ferrari'});0,03403816400206292;0,5409836065573771;2,971578507407236
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Front', 'Podio'});0,03403816400206292;0,1869688385269122;2,971578507407236
frozenset({'Equipe_Ferrari', 'Podio'});frozenset({'Grid_Front'});0,03403816400206292;0,7586206896551725;2,7546170734857296
frozenset({'Grid_Front'});frozenset({'Equipe_Ferrari', 'Podio'});0,03403816400206292;0,12359550561797755;2,7546170734857296
frozenset({'Podio'});frozenset({'Equipe_Ferrari'});0,04486848891181021;0,46774193548387094;2,5692680252216027
frozenset({'Equipe_Ferrari'});frozenset({'Podio'});0,04486848891181021;0,24645892351274787;2,5692680252216027
frozenset({'Podio'});frozenset({'Grid_Front'});0,0629190304280557;0,6559139784946236;2,3816801578671822
frozenset({'Grid_Front'});frozenset({'Podio'});0,0629190304280557;0,22846441947565546;2,3816801578671822
frozenset({'Equipe_Outras', 'Podio'});frozenset({'Grid_Front'});0,02527075812274368;0,5568181818181818;2,021854783792986
frozenset({'Grid_Front'});frozenset({'Equipe_Outras', 'Podio'});0,02527075812274368;0,09176029962546817;2,021854783792986
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Front'});0,1000515729757607;0,5495750708215298;1,995554423825742
frozenset({'Grid_Front'});frozenset({'Equipe_Ferrari'});0,1000515729757607;0,36329588014981273;1,995554423825742
frozenset({'Grid_Front'});frozenset({'Equipe_Ferrari', 'Abandono'});0,030943785456420837;0,11235955056179776;1,7569771656397248
frozenset({'Equipe_Ferrari', 'Abandono'});frozenset({'Grid_Front'});0,030943785456420837;0,4838709677419355;1,7569771656397246
frozenset({'Podio'});frozenset({'Equipe_Outras', 'Grid_Front'});0,02527075812274368;0,26344086021505375;1,7199051446363274
frozenset({'Equipe_Outras', 'Grid_Front'});frozenset({'Podio'});0,02527075812274368;0,16498316498316498;1,7199051446363274
frozenset({'Grid_Middle'});frozenset({'Pontuou'});0,042289840123775145;0,15045871559633028;1,5769699975204565
frozenset({'Pontuou'});frozenset({'Grid_Middle'});0,042289840123775145;0,4432432432432433;1,5769699975204563
frozenset({'Equipe_Outras', 'Pontuou'});frozenset({'Grid_Middle'});0,027333677153171736;0,4380165289256198;1,558374402911517
frozenset({'Grid_Middle'});frozenset({'Equipe_Outras', 'Pontuou'});0,027333677153171736;0,09724770642201834;1,558374402911517
frozenset({'Grid_Front', 'Abandono'});frozenset({'Equipe_Ferrari'});0,030943785456420837;0,28301886792452835;1,5545993906675935
frozenset({'Equipe_Ferrari'});frozenset({'Grid_Front', 'Abandono'});0,030943785456420837;0,16997167138810199;1,5545993906675932
frozenset({'Nao_Pontuou', 'Equipe_Outras'});frozenset({'Grid_Back'});0,1521402784940691;0,6541019955654103;1,4747718248852681
frozenset({'Grid_Back'});frozenset({'Nao_Pontuou', 'Equipe_Outras'});0,1521402784940691;0,3430232558139535;1,474771824885268
frozenset({'Pontuou'});frozenset({'Equipe_Outras', 'Grid_Middle'});0,027333677153171736;0,2864864864864865;1,4134791279829448
frozenset({'Equipe_Outras', 'Grid_Middle'});frozenset({'Pontuou'});0,027333677153171736;0,13486005089058523;1,4134791279829446
frozenset({'Nao_Pontuou'});frozenset({'Grid_Back', 'Equipe_Outras'});0,1521402784940691;0,544280442804428;1,3831714005213447
frozenset({'Grid_Back', 'Equipe_Outras'});frozenset({'Nao_Pontuou'});0,1521402784940691;0,38663171690694625;1,3831714005213445
frozenset({'Nao_Pontuou'});frozenset({'Grid_Back'});0,16967509025270758;0,6070110701107011;1,368598215051918
frozenset({'Grid_Back'});frozenset({'Nao_Pontuou'});0,16967509025270758;0,3825581395348837;1,3685982150519178
frozenset({'Pontuou'});frozenset({'Grid_Front'});0,03403816400206292;0,35675675675675683;1,2954145156392352
frozenset({'Grid_Front'});frozenset({'Pontuou'});0,03403816400206292;0,12359550561797755;1,2954145156392352
frozenset({'Pontuou'});frozenset({'Equipe_Ferrari'});0,0221763795771016;0,23243243243243245;1,276732256335656
frozenset({'Equipe_Ferrari'});frozenset({'Pontuou'});0,0221763795771016;0,1218130311614731;1,276732256335656
frozenset({'Equipe_Outras', 'Abandono'});frozenset({'Grid_Back'});0,21660649819494585;0,5630026809651475;1,2693746492923499
frozenset({'Grid_Back'});frozenset({'Equipe_Outras', 'Abandono'});0,21660649819494585;0,4883720930232558;1,2693746492923499
frozenset({'Grid_Back', 'Nao_Pontuou'});frozenset({'Equipe_Outras'});0,1521402784940691;0,8966565349544073;1,196570558345902
frozenset({'Equipe_Outras'});frozenset({'Grid_Back', 'Nao_Pontuou'});0,1521402784940691;0,20302821748107364;1,196570558345902
frozenset({'Grid_Back'});frozenset({'Equipe_Outras'});0,3935018050541516;0,8872093023255814;1,1839634117063333
frozenset({'Equipe_Outras'});frozenset({'Grid_Back'});0,3935018050541516;0,5251204404679972;1,1839634117063333
frozenset({'Equipe_Outras'});frozenset({'Grid_Back', 'Abandono'});0,21660649819494585;0,289057123193393;1,1774826930083804
frozenset({'Grid_Back', 'Abandono'});frozenset({'Equipe_Outras'});0,21660649819494585;0,8823529411764706;1,1774826930083802
