antecedents;consequents;support;confidence;lift
frozenset({'Venceu'});frozenset({'Grid_Front'});0,039195461578133056;0,8735632183908046;3,1719832967411428
frozenset({'Equipe_Ferrari', 'Podio'});frozenset({'Grid_Front'});0,03403816400206292;0,7586206896551725;2,7546170734857296
frozenset({'Podio'});frozenset({'Grid_Front'});0,0629190304280557;0,6559139784946236;2,3816801578671822
frozenset({'Equipe_Outras', 'Nao_Pontuou'});frozenset({'Grid_Back'});0,1521402784940691;0,6541019955654103;1,4747718248852681
frozenset({'Nao_Pontuou'});frozenset({'Grid_Back'});0,16967509025270758;0,6070110701107011;1,368598215051918
frozenset({'Nao_Pontuou', 'Grid_Back'});frozenset({'Equipe_Outras'});0,1521402784940691;0,8966565349544073;1,196570558345902
frozenset({'Grid_Back'});frozenset({'Equipe_Outras'});0,3935018050541516;0,8872093023255814;1,1839634117063333
frozenset({'Abandono', 'Grid_Back'});frozenset({'Equipe_Outras'});0,21660649819494585;0,8823529411764706;1,1774826930083802
frozenset({'Nao_Pontuou'});frozenset({'Equipe_Outras'});0,23259412068076327;0,8321033210332103;1,1104255605529214
frozenset({'Abandono'});frozenset({'Equipe_Outras'});0,3847343991748324;0,7944621938232163;1,0601942146064807
frozenset({'Abandono', 'Grid_Middle'});frozenset({'Equipe_Outras'});0,09902011346054668;0,7649402390438247;1,0207977450144363
frozenset({'Grid_Middle', 'Nao_Pontuou'});frozenset({'Equipe_Outras'});0,058793192367199584;0,7354838709677419;0,9814887995915015
frozenset({'Nao_Pontuou', 'Grid_Front'});frozenset({'Equipe_Outras'});0,021660649819494584;0,7241379310344828;0,9663478652965327
frozenset({'Grid_Middle'});frozenset({'Equipe_Outras'});0,20268179473955647;0,7211009174311926;0,9622950302127202
frozenset({'Pontuou'});frozenset({'Equipe_Outras'});0,062403300670448685;0,6540540540540541;0,8728223061326985
frozenset({'Pontuou', 'Grid_Middle'});frozenset({'Equipe_Outras'});0,027333677153171736;0,646341463414634;0,8625300052036995
frozenset({'Abandono', 'Grid_Front'});frozenset({'Equipe_Outras'});0,06910778751933987;0,6320754716981133;0,8434923190795882
